Date,Cases - Total
3/1/2020,0
3/2/2020,0
3/3/2020,0
3/4/2020,0
3/5/2020,1
3/6/2020,3
3/7/2020,3
3/8/2020,3
3/9/2020,5
3/10/2020,11
3/11/2020,12
3/12/2020,21
3/13/2020,33
3/14/2020,31
3/15/2020,40
3/16/2020,78
3/17/2020,96
3/18/2020,162
3/19/2020,186
3/20/2020,156
3/21/2020,125
3/22/2020,169
3/23/2020,292
3/24/2020,352
3/25/2020,368
3/26/2020,415
3/27/2020,406
3/28/2020,253
3/29/2020,283
3/30/2020,443
3/31/2020,490
4/1/2020,460
4/2/2020,442
4/3/2020,468
4/4/2020,326
4/5/2020,292
4/6/2020,586
4/7/2020,561
4/8/2020,702
4/9/2020,580
4/10/2020,572
4/11/2020,398
4/12/2020,341
4/13/2020,693
4/14/2020,663
4/15/2020,633
4/16/2020,681
4/17/2020,780
4/18/2020,538
4/19/2020,464
4/20/2020,993
4/21/2020,874
4/22/2020,1060
4/23/2020,1471
4/24/2020,1080
4/25/2020,637
4/26/2020,434
4/27/2020,1158
4/28/2020,1323
4/29/2020,1156
4/30/2020,1283
5/1/2020,1173
5/2/2020,718
5/3/2020,466
5/4/2020,1133
5/5/2020,1092
5/6/2020,976
5/7/2020,939
5/8/2020,926
5/9/2020,522
5/10/2020,307
5/11/2020,1016
5/12/2020,943
5/13/2020,878
5/14/2020,780
5/15/2020,991
5/16/2020,516
5/17/2020,326
5/18/2020,948
5/19/2020,897
5/20/2020,777
5/21/2020,806
5/22/2020,726
5/23/2020,328
5/24/2020,280
5/25/2020,252
5/26/2020,754
5/27/2020,614
5/28/2020,521
5/29/2020,463
5/30/2020,243
5/31/2020,120
6/1/2020,238
6/2/2020,246
6/3/2020,284
6/4/2020,322
6/5/2020,339
6/6/2020,171
6/7/2020,110
6/8/2020,272
6/9/2020,257
6/10/2020,235
6/11/2020,204
6/12/2020,247
6/13/2020,121
6/14/2020,92
6/15/2020,234
6/16/2020,213
6/17/2020,221
6/18/2020,184
6/19/2020,219
6/20/2020,124
6/21/2020,47
6/22/2020,220
6/23/2020,233
6/24/2020,244
6/25/2020,247
6/26/2020,218
6/27/2020,130
6/28/2020,112
6/29/2020,280
6/30/2020,266
7/1/2020,262
7/2/2020,254
7/3/2020,175
7/4/2020,62
7/5/2020,88
7/6/2020,284
7/7/2020,348
7/8/2020,310
7/9/2020,288
7/10/2020,343
7/11/2020,156
7/12/2020,97
7/13/2020,338
7/14/2020,322
7/15/2020,269
7/16/2020,297
7/17/2020,325
7/18/2020,134
7/19/2020,101
7/20/2020,390
7/21/2020,288
7/22/2020,369
7/23/2020,318
7/24/2020,344
7/25/2020,157
7/26/2020,97
7/27/2020,365
7/28/2020,335
7/29/2020,444
7/30/2020,341
7/31/2020,393
8/1/2020,141
8/2/2020,93
8/3/2020,422
8/4/2020,368
8/5/2020,377
8/6/2020,349
8/7/2020,416
8/8/2020,176
8/9/2020,116
8/10/2020,379
8/11/2020,385
8/12/2020,433
8/13/2020,392
8/14/2020,348
8/15/2020,223
8/16/2020,123
8/17/2020,499
8/18/2020,394
8/19/2020,470
8/20/2020,396
8/21/2020,413
8/22/2020,183
8/23/2020,111
8/24/2020,519
8/25/2020,395
8/26/2020,382
8/27/2020,353
8/28/2020,377
8/29/2020,222
8/30/2020,90
8/31/2020,342
9/1/2020,220
9/2/2020,162
9/3/2020,53
9/4/2020,1
,128
