Date,Cases - Total,day,month
3/1/2020,0,1,3
3/2/2020,0,2,3
3/3/2020,0,3,3
3/4/2020,0,4,3
3/5/2020,1,5,3
3/6/2020,3,6,3
3/7/2020,3,7,3
3/8/2020,3,8,3
3/9/2020,5,9,3
3/10/2020,11,10,3
3/11/2020,12,11,3
3/12/2020,21,12,3
3/13/2020,33,13,3
3/14/2020,31,14,3
3/15/2020,40,15,3
3/16/2020,78,16,3
3/17/2020,96,17,3
3/18/2020,162,18,3
3/19/2020,186,19,3
3/20/2020,156,20,3
3/21/2020,125,21,3
3/22/2020,169,22,3
3/23/2020,292,23,3
3/24/2020,352,24,3
3/25/2020,368,25,3
3/26/2020,415,26,3
3/27/2020,406,27,3
3/28/2020,253,28,3
3/29/2020,283,29,3
3/30/2020,443,30,3
3/31/2020,490,31,3
4/1/2020,460,1,4
4/2/2020,442,2,4
4/3/2020,468,3,4
4/4/2020,326,4,4
4/5/2020,292,5,4
4/6/2020,586,6,4
4/7/2020,561,7,4
4/8/2020,702,8,4
4/9/2020,580,9,4
4/10/2020,572,10,4
4/11/2020,398,11,4
4/12/2020,341,12,4
4/13/2020,693,13,4
4/14/2020,663,14,4
4/15/2020,633,15,4
4/16/2020,681,16,4
4/17/2020,780,17,4
4/18/2020,538,18,4
4/19/2020,464,19,4
4/20/2020,993,20,4
4/21/2020,874,21,4
4/22/2020,1060,22,4
4/23/2020,1471,23,4
4/24/2020,1080,24,4
4/25/2020,637,25,4
4/26/2020,434,26,4
4/27/2020,1158,27,4
4/28/2020,1323,28,4
4/29/2020,1156,29,4
4/30/2020,1283,30,4
5/1/2020,1173,1,5
5/2/2020,718,2,5
5/3/2020,466,3,5
5/4/2020,1133,4,5
5/5/2020,1092,5,5
5/6/2020,976,6,5
5/7/2020,939,7,5
5/8/2020,926,8,5
5/9/2020,522,9,5
5/10/2020,307,10,5
5/11/2020,1016,11,5
5/12/2020,943,12,5
5/13/2020,878,13,5
5/14/2020,780,14,5
5/15/2020,991,15,5
5/16/2020,516,16,5
5/17/2020,326,17,5
5/18/2020,948,18,5
5/19/2020,897,19,5
5/20/2020,777,20,5
5/21/2020,806,21,5
5/22/2020,726,22,5
5/23/2020,328,23,5
5/24/2020,280,24,5
5/25/2020,252,25,5
5/26/2020,754,26,5
5/27/2020,614,27,5
5/28/2020,521,28,5
5/29/2020,463,29,5
5/30/2020,243,30,5
5/31/2020,120,31,5
6/1/2020,238,1,6
6/2/2020,246,2,6
6/3/2020,284,3,6
6/4/2020,322,4,6
6/5/2020,339,5,6
6/6/2020,171,6,6
6/7/2020,110,7,6
6/8/2020,272,8,6
6/9/2020,257,9,6
6/10/2020,235,10,6
6/11/2020,204,11,6
6/12/2020,247,12,6
6/13/2020,121,13,6
6/14/2020,92,14,6
6/15/2020,234,15,6
6/16/2020,213,16,6
6/17/2020,221,17,6
6/18/2020,184,18,6
6/19/2020,219,19,6
6/20/2020,124,20,6
6/21/2020,47,21,6
6/22/2020,220,22,6
6/23/2020,233,23,6
6/24/2020,244,24,6
6/25/2020,247,25,6
6/26/2020,218,26,6
6/27/2020,130,27,6
6/28/2020,112,28,6
6/29/2020,280,29,6
6/30/2020,266,30,6
7/1/2020,262,1,7
7/2/2020,254,2,7
7/3/2020,175,3,7
7/4/2020,62,4,7
7/5/2020,88,5,7
7/6/2020,284,6,7
7/7/2020,348,7,7
7/8/2020,310,8,7
7/9/2020,288,9,7
7/10/2020,343,10,7
7/11/2020,156,11,7
7/12/2020,97,12,7
7/13/2020,338,13,7
7/14/2020,322,14,7
7/15/2020,269,15,7
7/16/2020,297,16,7
7/17/2020,325,17,7
7/18/2020,134,18,7
7/19/2020,101,19,7
7/20/2020,390,20,7
7/21/2020,288,21,7
7/22/2020,369,22,7
7/23/2020,318,23,7
7/24/2020,344,24,7
7/25/2020,157,25,7
7/26/2020,97,26,7
7/27/2020,365,27,7
7/28/2020,335,28,7
7/29/2020,444,29,7
7/30/2020,341,30,7
7/31/2020,393,31,7
8/1/2020,141,1,8
8/2/2020,93,2,8
8/3/2020,422,3,8
8/4/2020,368,4,8
8/5/2020,377,5,8
8/6/2020,349,6,8
8/7/2020,416,7,8
8/8/2020,176,8,8
8/9/2020,116,9,8
8/10/2020,379,10,8
8/11/2020,385,11,8
8/12/2020,433,12,8
8/13/2020,392,13,8
8/14/2020,348,14,8
8/15/2020,223,15,8
8/16/2020,123,16,8
8/17/2020,499,17,8
8/18/2020,394,18,8
8/19/2020,470,19,8
8/20/2020,396,20,8
8/21/2020,413,21,8
8/22/2020,183,22,8
8/23/2020,111,23,8
8/24/2020,519,24,8
8/25/2020,395,25,8
8/26/2020,382,26,8
8/27/2020,353,27,8
8/28/2020,377,28,8
8/29/2020,222,29,8
8/30/2020,90,30,8
8/31/2020,342,31,8
9/1/2020,220,1,9
9/2/2020,162,2,9
9/3/2020,53,3,9
9/4/2020,1,4,9
