date,new_cases
3/5/2020,0
3/6/2020,6
3/7/2020,0
3/8/2020,0
3/9/2020,4
3/10/2020,5
3/11/2020,17
3/12/2020,15
3/13/2020,29
3/14/2020,25
3/15/2020,33
3/16/2020,25
3/17/2020,22
3/18/2020,33
3/19/2020,62
3/20/2020,86
3/21/2020,111
3/22/2020,116
3/23/2020,130
3/24/2020,191
3/25/2020,174
3/26/2020,346
3/27/2020,303
3/28/2020,326
3/29/2020,254
3/30/2020,313
3/31/2020,362
4/1/2020,356
4/2/2020,382
4/3/2020,454
4/4/2020,392
4/5/2020,376
4/6/2020,222
4/7/2020,257
4/8/2020,226
4/9/2020,547
4/10/2020,308
4/11/2020,383
4/12/2020,410
4/13/2020,388
4/14/2020,250
4/15/2020,339
4/16/2020,395
4/17/2020,372
4/18/2020,386
4/19/2020,297
4/20/2020,376
4/21/2020,341
4/22/2020,431
4/23/2020,384
4/24/2020,993
4/25/2020,712
4/26/2020,473
4/27/2020,364
4/28/2020,435
4/29/2020,441
4/30/2020,527
5/1/2020,454
5/2/2020,457
5/3/2020,409
5/4/2020,272
5/5/2020,457
5/6/2020,464
5/7/2020,544
5/8/2020,455
5/9/2020,548
5/10/2020,328
5/11/2020,198
5/12/2020,310
5/13/2020,339
5/14/2020,371
5/15/2020,394
5/16/2020,397
5/17/2020,305
5/18/2020,265
5/19/2020,280
5/20/2020,315
5/21/2020,392
5/22/2020,295
5/23/2020,476
5/24/2020,208
5/25/2020,116
5/26/2020,297
5/27/2020,222
5/28/2020,341
5/29/2020,486
5/30/2020,482
5/31/2020,280
6/1/2020,199
6/2/2020,211
6/3/2020,272
6/4/2020,300
6/5/2020,255
6/6/2020,233
6/7/2020,153
6/8/2020,182
6/9/2020,164
6/10/2020,151
6/11/2020,148
6/12/2020,175
6/13/2020,195
6/14/2020,113
6/15/2020,169
6/16/2020,143
6/17/2020,231
6/18/2020,228
6/19/2020,286
6/20/2020,162
6/21/2020,190
6/22/2020,165
6/23/2020,188
6/24/2020,262
6/25/2020,324
6/26/2020,317
6/27/2020,226
6/28/2020,284
6/29/2020,205
6/30/2020,203
7/1/2020,314
7/2/2020,323
7/3/2020,272
7/4/2020,293
7/5/2020,200
7/6/2020,216
7/7/2020,401
7/8/2020,468
7/9/2020,419
7/10/2020,606
7/11/2020,423
7/12/2020,300
7/13/2020,370
7/14/2020,458
7/15/2020,479
7/16/2020,577
7/17/2020,592
7/18/2020,402
7/19/2020,371
7/20/2020,467
7/21/2020,503
7/22/2020,595
7/23/2020,662
7/24/2020,689
7/25/2020,749
7/26/2020,517
7/27/2020,359
7/28/2020,697
7/29/2020,465
7/30/2020,453
7/31/2020,610
8/1/2020,409
8/2/2020,442
8/3/2020,320
8/4/2020,373
8/5/2020,651
8/6/2020,490
8/7/2020,448
8/8/2020,410
8/9/2020,308
8/10/2020,305
8/11/2020,383
8/12/2020,360
8/13/2020,395
8/14/2020,345
8/15/2020,281
8/16/2020,320
8/17/2020,203
8/18/2020,283
8/19/2020,269
8/20/2020,342
8/21/2020,373
8/22/2020,281
8/23/2020,502
8/24/2020,259
8/25/2020,476
8/26/2020,170
8/27/2020,360
8/28/2020,452
8/29/2020,168
8/30/2020,189
8/31/2020,282
9/1/2020,321
9/2/2020,274
9/3/2020,288
9/4/2020,341
9/5/2020,341
9/6/2020,264
9/7/2020,197
9/8/2020,180
9/9/2020,288
9/10/2020,285
9/11/2020,305
9/12/2020,430
9/13/2020,330
9/14/2020,391
9/15/2020,543
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
