date,total_cases,New_Cases,Date,Avg_DP
2/1/2020,0,0,1/18/2020,34.6
2/2/2020,0,0,1/19/2020,33.7
2/3/2020,0,0,1/20/2020,33.9
2/4/2020,0,0,1/21/2020,35
2/8/2020,0,0,1/25/2020,39.3
2/11/2020,1,1,1/28/2020,34.4
2/12/2020,1,0,1/29/2020,36.3
2/18/2020,1,0,2/4/2020,36.1
2/19/2020,1,0,2/5/2020,35.7
2/20/2020,1,0,2/6/2020,37.1
2/21/2020,1,0,2/7/2020,38.7
2/24/2020,2,1,2/10/2020,35.6
2/25/2020,5,3,2/11/2020,29
2/26/2020,7,2,2/12/2020,33.2
3/2/2020,29,12,2/17/2020,36.9
3/3/2020,35,6,2/18/2020,37.7
3/4/2020,53,18,2/19/2020,38.8
3/6/2020,90,23,2/21/2020,37.8
3/10/2020,270,91,2/25/2020,35.8
3/11/2020,453,183,2/26/2020,31.4
3/12/2020,618,165,2/27/2020,32
3/13/2020,754,136,2/28/2020,40
3/14/2020,903,149,2/29/2020,38.4
3/15/2020,1068,165,3/1/2020,33.2
3/16/2020,1302,234,3/2/2020,35.1
3/17/2020,1612,310,3/3/2020,35
3/18/2020,1968,356,3/4/2020,37.6
3/20/2020,2727,426,3/6/2020,33.2
3/23/2020,4204,689,3/9/2020,39.4
3/26/2020,6367,767,3/12/2020,33.9
3/27/2020,7188,821,3/13/2020,36.3
3/30/2020,9230,870,3/16/2020,36.3
4/3/2020,13199,982,3/20/2020,36.3
4/4/2020,13965,766,3/21/2020,32.9
4/5/2020,14600,635,3/22/2020,33.8
4/6/2020,15460,860,3/23/2020,31.1
4/7/2020,16413,953,3/24/2020,29
4/8/2020,17287,874,3/25/2020,28.7
4/9/2020,18086,799,3/26/2020,29.6
4/10/2020,18700,614,3/27/2020,31.7
4/11/2020,19221,521,3/28/2020,33.7
4/12/2020,19722,501,3/29/2020,26
4/13/2020,20323,601,3/30/2020,33
4/14/2020,20927,604,3/31/2020,33.3
4/15/2020,21587,660,4/1/2020,30.4
4/16/2020,22163,576,4/2/2020,37.3
4/17/2020,22741,578,4/3/2020,35.5
4/18/2020,23143,402,4/4/2020,37.3
4/19/2020,23539,396,4/5/2020,36.4
4/27/2020,26796,417,4/13/2020,33.6
4/28/2020,27107,311,4/14/2020,30.7
4/29/2020,27538,431,4/15/2020,36.6
5/3/2020,28734,166,4/19/2020,39.3
5/4/2020,28980,246,4/20/2020,37.1
5/5/2020,29201,221,4/21/2020,37.8
5/6/2020,29470,269,4/22/2020,38.9
5/16/2020,31119,74,5/2/2020,39.1
5/19/2020,31442,132,5/5/2020,39.2
5/20/2020,31586,144,5/6/2020,39.3
5/25/2020,32003,58,5/11/2020,29.7
5/26/2020,32069,66,5/12/2020,31.6
5/27/2020,32153,84,5/13/2020,32.6
5/28/2020,32227,74,5/14/2020,33.4
5/29/2020,32284,57,5/15/2020,36.2
5/30/2020,32323,39,5/16/2020,37.6
