Date,Case-Total,Date-1,Avg_DP
3/2/2020,0,2/24/2020,26.3
3/5/2020,3,2/27/2020,26.9
3/9/2020,58,3/2/2020,30.5
3/11/2020,155,3/4/2020,28.5
3/12/2020,357,3/5/2020,25.4
3/13/2020,620,3/6/2020,34
3/16/2020,2122,3/9/2020,23.4
3/18/2020,2974,3/11/2020,27.7
3/19/2020,3707,3/12/2020,37
3/21/2020,2638,3/14/2020,21.7
3/23/2020,3572,3/16/2020,22
3/24/2020,4506,3/17/2020,38.4
3/25/2020,4863,3/18/2020,26.9
3/28/2020,3477,3/21/2020,21.3
3/30/2020,6135,3/23/2020,33.7
3/31/2020,5472,3/24/2020,32
4/1/2020,5464,3/25/2020,34
4/2/2020,5769,3/26/2020,32.5
4/3/2020,5676,3/27/2020,34.5
4/4/2020,3867,3/28/2020,38.4
4/7/2020,6064,3/31/2020,35.7
4/8/2020,5587,4/1/2020,28.3
4/9/2020,5073,4/2/2020,28
4/10/2020,4517,4/3/2020,38.2
4/13/2020,3313,4/6/2020,33
4/14/2020,4147,4/7/2020,29.9
4/17/2020,3584,4/10/2020,26.4
4/19/2020,2346,4/12/2020,34
4/21/2020,3065,4/14/2020,29.9
4/22/2020,3462,4/15/2020,21.6
4/24/2020,2539,4/17/2020,22
4/25/2020,1595,4/18/2020,36.9
4/26/2020,1003,4/19/2020,27.4
4/27/2020,2298,4/20/2020,29.8
4/28/2020,2730,4/21/2020,38.2
4/30/2020,2024,4/23/2020,21.4
5/2/2020,1060,4/25/2020,37
5/4/2020,1551,4/27/2020,36
5/5/2020,1513,4/28/2020,34
5/9/2020,657,5/2/2020,36.3
5/11/2020,1233,5/4/2020,38.8
5/12/2020,1285,5/5/2020,23.8
5/13/2020,1336,5/6/2020,39.3
5/14/2020,1112,5/7/2020,28
5/15/2020,875,5/8/2020,33.9
5/16/2020,488,5/9/2020,24.1
5/17/2020,359,5/10/2020,22.7
5/18/2020,900,5/11/2020,38.4
5/19/2020,1004,5/12/2020,24.3
5/20/2020,1082,5/13/2020,27.5
5/21/2020,1072,5/14/2020,36.8
5/26/2020,1055,5/19/2020,36.3
5/27/2020,745,5/20/2020,34.2
6/7/2020,199,5/31/2020,36.9
6/8/2020,444,6/1/2020,35.2
